,Rate of access,,,,,,Population without access (million)
,National,,,,Urban,Rural,
,2,2,2,2,2,2,2
,,,,,,,
,,,,,,,
Algeria,98,98,99,100,100,97,<1
Egypt,94,98,100,100,100,100,-
Libya,100,100,100,100,100,99,<1
Morocco,71,88,99,99,100,97,<1
Tunisia,95,99,100,100,100,100,-
,,,,,,,
,,,,,,,
Cameroon,20,47,49,63,94,21,9
Central African Republic,1,2,2,3,5,1,5
Chad,2,3,4,9,32,1,13
Congo,21,23,37,43,56,16,3
Democratic Republic of the Congo,7,7,15,15,35,0,68
Equatorial Guinea,22,25,27,68,93,48,<1
Gabon,31,46,60,90,97,38,<1
,,,,,,,
Burundi,4,5,5,10,35,7,10
Djibouti,46,48,50,42,54,1,<1
Eritrea,17,23,32,33,86,17,4
Ethiopia,5,15,23,40,85,29,61
Kenya,8,14,18,65,78,60,17
Rwanda,6,8,10,30,72,12,8
Somalia,5,9,14,16,35,4,9
South Sudan,0,0,0,1,4,0,13
Sudan,30,31,36,46,71,31,22
Uganda,4,9,9,19,23,19,33
,,,,,,,
Nigeria,40,47,50,61,86,34,74
Benin,22,23,27,32,56,11,8
Cote d'Ivoire,50,50,59,63,88,32,9
Ghana,45,52,61,84,95,71,5
Senegal,30,35,54,64,90,44,6
Togo,9,18,28,35,74,5,5
Burkina Faso,13,9,15,20,58,2,15
Cape Verde,59,65,70,97,100,89,<1
Gambia,18,27,35,48,66,13,1
Guinea,16,18,20,20,46,1,10
Guinea-Bissau,10,11,12,13,23,1,2
Liberia,0,1,2,12,16,3,4
Mali,12,14,17,41,83,6,11
Mauritania,15,17,19,31,47,2,3
Niger,7,8,9,11,54,0,18
Sao Tome and Principe,53,55,57,59,70,40,<1
Sierra Leone,9,11,12,9,12,6,6
,,,,,,,
,,,,,,,
Angola,12,17,40,35,69,6,17
Botswana,22,40,45,55,69,32,1
Comoros,30,35,40,71,89,62,<1
Lesotho,5,12,17,34,63,24,1
Madagascar,8,16,17,23,52,7,19
Malawi,5,7,9,11,49,3,16
Mauritius,100,95,99,100,100,100,-
Mozambique,7,7,15,29,57,15,21
Namibia,34,34,44,56,78,34,1
Seychelles,50,54,58,99,99,99,<1
Swaziland,25,30,35,84,90,71,<1
Tanzania,11,12,15,33,65,17,37
Zambia,12,19,19,34,67,7,11
Zimbabwe,40,36,37,34,81,11,11
,,,,,,,
China,99,99,99,100,100,100,-
India,43,58,66,82,97,74,239
Indonesia,53,56,67,91,99,82,23
,,,,,,,
Brunei,99,99,100,100,100,100,-
Cambodia,16,12,23,60,97,50,6
Laos,20,11,63,91,99,85,<1
Malaysia,97,98,99,99,100,97,<1
Myanmar,5,12,49,59,79,44,22
Philippines,87,82,83,90,98,83,11
Singapore,100,100,100,100,100,100,-
Thailand,82,99,99,100,100,100,-
Viet Nam,76,95,97,98,100,98,2
,,,,,,,
Bangladesh,20,34,47,75,90,67,41
DPR Korea,20,23,26,27,36,11,19
Mongolia,90,65,86,91,98,73,<1
Nepal,15,35,76,77,97,72,7
Pakistan,53,56,67,74,90,63,51
Sri Lanka,62,68,77,100,100,100,-
,,,,,,,
,,,,,,,
Argentina,95,96,97,100,100,85,<1
Bolivia,60,67,80,92,98,66,<1
Brazil,95,97,99,100,100,97,<1
Colombia,81,88,97,98,100,87,1
Costa Rica,96,99,99,99,100,97,<1
Cuba,97,96,97,100,100,98,<1
Dominican Republic,67,93,97,97,98,91,<1
Ecuador,80,91,92,98,99,94,<1
El Salvador,71,81,92,96,98,90,<1
Guatemala,67,79,80,94,100,84,1
Haiti,34,37,20,33,45,8,7
Honduras,55,64,80,76,81,65,2
Jamaica,90,88,92,100,100,96,<1
Nicaragua,48,70,72,89,96,70,<1
Panama,76,86,88,96,100,82,<1
Paraguay,75,88,97,99,100,99,<1
Peru,73,75,86,95,97,89,2
Trinidad and Tobago,99,99,99,99,100,98,<1
Uruguay,98,96,99,100,100,98,<1
Venezuela,94,99,100,100,99,98,<1
,,,,,,,
,,,,,,,
Bahrain,99,99,99,100,100,100,-
Iran,98,98,98,99,100,96,<1
Iraq,95,29,98,99,100,95,<1
Jordan,95,100,99,100,100,100,-
Kuwait,100,100,100,100,100,100,-
Lebanon,95,100,100,100,100,99,<1
Oman,94,96,98,100,100,93,<1
Saudi Arabia,98,97,99,99,100,98,<1
Syria,86,91,93,96,100,84,<1
Qatar,95,76,99,99,100,99,<1
United Arab Emirates,96,94,100,100,100,100,-
Yemen,50,37,40,48,72,32,14
